야	ᄋ ᅣ
장으로	ᄌ ᅡ ᆼ ᄋ ᅳ ᄅ ᅩ
만들어버려	ᄆ ᅡ ᆫ ᄃ ᅳ ᄅ ᅥ ᄇ ᅥ ᄅ ᅧ
정교하게	ᄌ ᅥ ᆼ ᄀ ᅭ ᄒ ᅡ ᄀ ᅦ
꼼꼼한가	ᄁ ᅩ ᆷ ᄁ ᅩ ᆷ ᄒ ᅡ ᆫ ᄀ ᅡ
붙이는	ᄇ ᅮ ᄎ ᅵ ᄂ ᅳ ᆫ
푸는	ᄑ ᅮ ᄂ ᅳ ᆫ
방법	ᄇ ᅡ ᆼ ᄇ ᅥ ᆸ
써봐야	ᄊ ᅥ ᄇ ᅪ ᄋ ᅣ
끝장이니까	ᄁ ᅳ ᆮ ᄍ ᅡ ᆼ ᄋ ᅵ ᄂ ᅵ ᄁ ᅡ
붙여야	ᄇ ᅮ ᄎ ᅧ ᄋ ᅣ
물풀	ᄆ ᅮ ᆯ ᄑ ᅮ ᆯ
꿀렁꿀렁	ᄁ ᅮ ᆯ ᄅ ᅥ ᆼ ᄁ ᅮ ᆯ ᄅ ᅥ ᆼ
거려서	ᄀ ᅥ ᄅ ᅧ ᄉ ᅥ
전문가다	ᄌ ᅥ ᆫ ᄆ ᅮ ᆫ ᄀ ᅡ ᄃ ᅡ
시간이야	ᄉ ᅵ ᄀ ᅡ ᄂ ᅵ ᄋ ᅣ
학원인데	ᄒ ᅡ ᄀ ᅯ ᄂ ᅵ ᆫ ᄃ ᅦ
주산	ᄌ ᅮ ᄉ ᅡ ᆫ
주산이	ᄌ ᅮ ᄉ ᅡ ᄂ ᅵ
주판	ᄌ ᅮ ᄑ ᅡ ᆫ
주판이	ᄌ ᅮ ᄑ ᅡ ᄂ ᅵ
계산기	ᄀ ᅨ ᄉ ᅡ ᆫ ᄀ ᅵ
지루하고	ᄌ ᅵ ᄅ ᅮ ᄒ ᅡ ᄀ ᅩ
놀다가	ᄂ ᅩ ᆯ ᄃ ᅡ ᄀ ᅡ
모르실	ᄆ ᅩ ᄅ ᅳ ᄉ ᅵ ᆯ
걸렸어	ᄀ ᅥ ᆯ ᄅ ᅧ ᄊ ᅥ
시켰어	ᄉ ᅵ ᄏ ᅧ ᄊ ᅥ
맛인데	ᄆ ᅡ ᄉ ᅵ ᆫ ᄃ ᅦ
큰다고	ᄏ ᅳ ᆫ ᄃ ᅡ ᄀ ᅩ
자기들만	ᄌ ᅡ ᄀ ᅵ ᄃ ᅳ ᆯ ᄆ ᅡ ᆫ
맛난	ᄆ ᅡ ᆫ ᄂ ᅡ ᆫ
키도	ᄏ ᅵ ᄃ ᅩ
크잖아	ᄏ ᅳ ᄌ ᅡ ᄂ ᅡ
때문인가	ᄄ ᅢ ᄆ ᅮ ᄂ ᅵ ᆫ ᄀ ᅡ
얼마야	ᄋ ᅥ ᆯ ᄆ ᅡ ᄋ ᅣ
비싸네	ᄇ ᅵ ᄊ ᅡ ᄂ ᅦ
시키기	ᄉ ᅵ ᄏ ᅵ ᄀ ᅵ
근	ᄀ ᅳ ᆫ
마셔놔야	ᄆ ᅡ ᄉ ᅧ ᄂ ᅪ ᄋ ᅣ
어른되서	ᄋ ᅥ ᄅ ᅳ ᆫ ᄃ ᅬ ᄉ ᅥ
가져가지	ᄀ ᅡ ᄌ ᅥ ᄀ ᅡ ᄌ ᅵ
아기라	ᄋ ᅡ ᄀ ᅵ ᄅ ᅡ
아기니까	ᄋ ᅡ ᄀ ᅵ ᄂ ᅵ ᄁ ᅡ
전자레인지에	ᄌ ᅥ ᆫ ᄌ ᅡ ᄅ ᅦ ᄋ ᅵ ᆫ ᄌ ᅵ ᄋ ᅦ
데워서	ᄃ ᅦ ᄋ ᅯ ᄉ ᅥ
가져가자	ᄀ ᅡ ᄌ ᅥ ᄀ ᅡ ᄌ ᅡ
아저씨네도	ᄋ ᅡ ᄌ ᅥ ᄊ ᅵ ᄂ ᅦ ᄃ ᅩ
전자레인지	ᄌ ᅥ ᆫ ᄌ ᅡ ᄅ ᅦ ᄋ ᅵ ᆫ ᄌ ᅵ
스케치북이랑	ᄉ ᅳ ᄏ ᅦ ᄎ ᅵ ᄇ ᅮ ᄀ ᅵ ᄅ ᅡ ᆼ
태블릿도	ᄐ ᅢ ᄇ ᅳ ᆯ ᄅ ᅵ ᆮ ᄄ ᅩ
비온다	ᄇ ᅵ ᄋ ᅩ ᆫ ᄃ ᅡ
비오네	ᄇ ᅵ ᄋ ᅩ ᄂ ᅦ
계셔	ᄀ ᅨ ᄉ ᅧ
넘어야	ᄂ ᅥ ᄆ ᅥ ᄋ ᅣ
가까우니까	ᄀ ᅡ ᄁ ᅡ ᄋ ᅮ ᄂ ᅵ ᄁ ᅡ
사주지	ᄉ ᅡ ᄌ ᅮ ᄌ ᅵ
양말	ᄋ ᅣ ᆼ ᄆ ᅡ ᆯ
모양이다	ᄆ ᅩ ᄋ ᅣ ᆼ ᄋ ᅵ ᄃ ᅡ
아저씨네	ᄋ ᅡ ᄌ ᅥ ᄊ ᅵ ᄂ ᅦ
바닥이	ᄇ ᅡ ᄃ ᅡ ᄀ ᅵ
미끄러워서	ᄆ ᅵ ᄁ ᅳ ᄅ ᅥ ᄋ ᅯ ᄉ ᅥ
신으면	ᄉ ᅵ ᄂ ᅳ ᄆ ᅧ ᆫ
엎어	ᄋ ᅥ ᄑ ᅥ
고양이도	ᄀ ᅩ ᄋ ᅣ ᆼ ᄋ ᅵ ᄃ ᅩ
비싸다	ᄇ ᅵ ᄊ ᅡ ᄃ ᅡ
반반	ᄇ ᅡ ᆫ ᄇ ᅡ ᆫ
내자	ᄂ ᅢ ᄌ ᅡ
우주선	ᄋ ᅮ ᄌ ᅮ ᄉ ᅥ ᆫ
배송이라	ᄇ ᅢ ᄉ ᅩ ᆼ ᄋ ᅵ ᄅ ᅡ
도착해	ᄃ ᅩ ᄎ ᅡ ᄏ ᅢ
출출하네	ᄎ ᅮ ᆯ ᄎ ᅮ ᆯ ᄒ ᅡ ᄂ ᅦ
고파	ᄀ ᅩ ᄑ ᅡ
이주영	ᄋ ᅵ ᄌ ᅮ ᄋ ᅧ ᆼ
라면	ᄅ ᅡ ᄆ ᅧ ᆫ
라면을	ᄅ ᅡ ᄆ ᅧ ᄂ ᅳ ᆯ
끓여달라는데	ᄁ ᅳ ᄅ ᅧ ᄃ ᅡ ᆯ ᄅ ᅡ ᄂ ᅳ ᆫ ᄃ ᅦ
어렵냐	ᄋ ᅥ ᄅ ᅧ ᆷ ᄂ ᅣ
니는	ᄂ ᅵ ᄂ ᅳ ᆫ
발이	ᄇ ᅡ ᄅ ᅵ
말버릇이	ᄆ ᅡ ᆯ ᄇ ᅥ ᄅ ᅳ ᄉ ᅵ
퍽이나	ᄑ ᅥ ᄀ ᅵ ᄂ ᅡ
오빠다운	ᄋ ᅩ ᄈ ᅡ ᄃ ᅡ ᄋ ᅮ ᆫ
라면이나	ᄅ ᅡ ᄆ ᅧ ᄂ ᅵ ᄂ ᅡ
죽을라고	ᄌ ᅮ ᄀ ᅳ ᆯ ᄅ ᅡ ᄀ ᅩ
이르기만	ᄋ ᅵ ᄅ ᅳ ᄀ ᅵ ᄆ ᅡ ᆫ
이르면	ᄋ ᅵ ᄅ ᅳ ᄆ ᅧ ᆫ
끓인다	ᄁ ᅳ ᄅ ᅵ ᆫ ᄃ ᅡ
끓이는데	ᄁ ᅳ ᄅ ᅵ ᄂ ᅳ ᆫ ᄃ ᅦ
어쩌라는	ᄋ ᅥ ᄍ ᅥ ᄅ ᅡ ᄂ ᅳ ᆫ
끓이라고	ᄁ ᅳ ᄅ ᅵ ᄅ ᅡ ᄀ ᅩ
아쉬운	ᄋ ᅡ ᄉ ᅱ ᄋ ᅮ ᆫ
먹고서야	ᄆ ᅥ ᆨ ᄁ ᅩ ᄉ ᅥ ᄋ ᅣ
끓이고	ᄁ ᅳ ᄅ ᅵ ᄀ ᅩ
버릇없게	ᄇ ᅥ ᄅ ᅳ ᄉ ᅥ ᆸ ᄁ ᅦ
오빠냐	ᄋ ᅩ ᄈ ᅡ ᄂ ᅣ
노릇	ᄂ ᅩ ᄅ ᅳ ᆮ
노릇을	ᄂ ᅩ ᄅ ᅳ ᄉ ᅳ ᆯ
끓일	ᄁ ᅳ ᄅ ᅵ ᆯ
끓여줘	ᄁ ᅳ ᄅ ᅧ ᄌ ᅯ
물어보는데	ᄆ ᅮ ᄅ ᅥ ᄇ ᅩ ᄂ ᅳ ᆫ ᄃ ᅦ
으유	ᄋ ᅳ ᄋ ᅲ
돼지냐	ᄃ ᅫ ᄌ ᅵ ᄂ ᅣ
외식하자는	ᄋ ᅬ ᄉ ᅵ ᄏ ᅡ ᄌ ᅡ ᄂ ᅳ ᆫ
죽겠는데	ᄌ ᅮ ᆨ ᄁ ᅦ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
외식이야	ᄋ ᅬ ᄉ ᅵ ᄀ ᅵ ᄋ ᅣ
돼지처럼	ᄃ ᅫ ᄌ ᅵ ᄎ ᅥ ᄅ ᅥ ᆷ
먹더니	ᄆ ᅥ ᆨ ᄄ ᅥ ᄂ ᅵ
꼴	ᄁ ᅩ ᆯ
외식	ᄋ ᅬ ᄉ ᅵ ᆨ
배부르니까	ᄇ ᅢ ᄇ ᅮ ᄅ ᅳ ᄂ ᅵ ᄁ ᅡ
오빠는	ᄋ ᅩ ᄈ ᅡ ᄂ ᅳ ᆫ
외식하지	ᄋ ᅬ ᄉ ᅵ ᄏ ᅡ ᄌ ᅵ
꾸역꾸역	ᄁ ᅮ ᄋ ᅧ ᆨ ᄁ ᅮ ᄋ ᅧ ᆨ
먹으래	ᄆ ᅥ ᄀ ᅳ ᄅ ᅢ
갈비구이집	ᄀ ᅡ ᆯ ᄇ ᅵ ᄀ ᅮ ᄋ ᅵ ᄌ ᅵ ᆸ
가자는데	ᄀ ᅡ ᄌ ᅡ ᄂ ᅳ ᆫ ᄃ ᅦ
죽겠다며	ᄌ ᅮ ᆨ ᄁ ᅦ ᆮ ᄄ ᅡ ᄆ ᅧ
배에	ᄇ ᅢ ᄋ ᅦ
갈비를	ᄀ ᅡ ᆯ ᄇ ᅵ ᄅ ᅳ ᆯ
포기할	ᄑ ᅩ ᄀ ᅵ ᄒ ᅡ ᆯ
쪘네	ᄍ ᅥ ᆫ ᄂ ᅦ
이러지	ᄋ ᅵ ᄅ ᅥ ᄌ ᅵ
겨울잠	ᄀ ᅧ ᄋ ᅮ ᆯ ᄌ ᅡ ᆷ
곰마냥	ᄀ ᅩ ᆷ ᄆ ᅡ ᄂ ᅣ ᆼ
먹어대잖아	ᄆ ᅥ ᄀ ᅥ ᄃ ᅢ ᄌ ᅡ ᄂ ᅡ
듣냐	ᄃ ᅳ ᆫ ᄂ ᅣ
양을	ᄋ ᅣ ᆼ ᄋ ᅳ ᆯ
씨리얼에	ᄊ ᅵ ᄅ ᅵ ᄋ ᅥ ᄅ ᅦ
후라이	ᄒ ᅮ ᄅ ᅡ ᄋ ᅵ
비벼서	ᄇ ᅵ ᄇ ᅧ ᄉ ᅥ
점심인가	ᄌ ᅥ ᆷ ᄉ ᅵ ᄆ ᅵ ᆫ ᄀ ᅡ
점심에는	ᄌ ᅥ ᆷ ᄉ ᅵ ᄆ ᅦ ᄂ ᅳ ᆫ
김치찌개	ᄀ ᅵ ᆷ ᄎ ᅵ ᄍ ᅵ ᄀ ᅢ
끓인	ᄁ ᅳ ᄅ ᅵ ᆫ
거에다가	ᄀ ᅥ ᄋ ᅦ ᄃ ᅡ ᄀ ᅡ
이성적으로	ᄋ ᅵ ᄉ ᅥ ᆼ ᄌ ᅥ ᄀ ᅳ ᄅ ᅩ
믿겠으면	ᄆ ᅵ ᆮ ᄁ ᅦ ᄊ ᅳ ᄆ ᅧ ᆫ
인터넷에다가	ᄋ ᅵ ᆫ ᄐ ᅥ ᄂ ᅦ ᄉ ᅦ ᄃ ᅡ ᄀ ᅡ
올려봐	ᄋ ᅩ ᆯ ᄅ ᅧ ᄇ ᅪ
수강신청	ᄉ ᅮ ᄀ ᅡ ᆼ ᄉ ᅵ ᆫ ᄎ ᅥ ᆼ
빡세	ᄈ ᅡ ᆨ ᄊ ᅦ
많은데다가	ᄆ ᅡ ᄂ ᅳ ᆫ ᄃ ᅦ ᄃ ᅡ ᄀ ᅡ
정원들이	ᄌ ᅥ ᆼ ᄋ ᅯ ᆫ ᄃ ᅳ ᄅ ᅵ
넣기가	ᄂ ᅥ ᄏ ᅵ ᄀ ᅡ
하늘의	ᄒ ᅡ ᄂ ᅳ ᄅ ᅴ
따기지	ᄄ ᅡ ᄀ ᅵ ᄌ ᅵ
등록금	ᄃ ᅳ ᆼ ᄂ ᅩ ᆨ ᄁ ᅳ ᆷ
내고도	ᄂ ᅢ ᄀ ᅩ ᄃ ᅩ
듣는다니	ᄃ ᅳ ᆫ ᄂ ᅳ ᆫ ᄃ ᅡ ᄂ ᅵ
억울하겠네	ᄋ ᅥ ᄀ ᅮ ᆯ ᄒ ᅡ ᄀ ᅦ ᆫ ᄂ ᅦ
억울하지	ᄋ ᅥ ᄀ ᅮ ᆯ ᄒ ᅡ ᄌ ᅵ
망하고	ᄆ ᅡ ᆼ ᄒ ᅡ ᄀ ᅩ
휴학하고	ᄒ ᅲ ᄒ ᅡ ᄏ ᅡ ᄀ ᅩ
싶다니까	ᄉ ᅵ ᆸ ᄄ ᅡ ᄂ ᅵ ᄁ ᅡ
신청	ᄉ ᅵ ᆫ ᄎ ᅥ ᆼ
망했다고	ᄆ ᅡ ᆼ ᄒ ᅢ ᆮ ᄄ ᅡ ᄀ ᅩ
휴학까지	ᄒ ᅲ ᄒ ᅡ ᆨ ᄁ ᅡ ᄌ ᅵ
수강신청은	ᄉ ᅮ ᄀ ᅡ ᆼ ᄉ ᅵ ᆫ ᄎ ᅥ ᆼ ᄋ ᅳ ᆫ
성공률이	ᄉ ᅥ ᆼ ᄀ ᅩ ᆼ ᄂ ᅲ ᄅ ᅵ
편도	ᄑ ᅧ ᆫ ᄃ ᅩ
티켓팅인데	ᄐ ᅵ ᄏ ᅦ ᆮ ᄐ ᅵ ᆼ ᄋ ᅵ ᆫ ᄃ ᅦ
기대한	ᄀ ᅵ ᄃ ᅢ ᄒ ᅡ ᆫ
게임도	ᄀ ᅦ ᄋ ᅵ ᆷ ᄃ ᅩ
티켓팅이라고	ᄐ ᅵ ᄏ ᅦ ᆮ ᄐ ᅵ ᆼ ᄋ ᅵ ᄅ ᅡ ᄀ ᅩ
망했네	ᄆ ᅡ ᆼ ᄒ ᅢ ᆫ ᄂ ᅦ
잡았어	ᄌ ᅡ ᄇ ᅡ ᄊ ᅥ
순식간에	ᄉ ᅮ ᆫ ᄉ ᅵ ᆨ ᄁ ᅡ ᄂ ᅦ
선좌를	ᄉ ᅥ ᆫ ᄌ ᅪ ᄅ ᅳ ᆯ
처음이	ᄎ ᅥ ᄋ ᅳ ᄆ ᅵ
선좌가	ᄉ ᅥ ᆫ ᄌ ᅪ ᄀ ᅡ
선택된	ᄉ ᅥ ᆫ ᄐ ᅢ ᆨ ᄄ ᅬ ᆫ
좌석입니다	ᄌ ᅪ ᄉ ᅥ ᄀ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
선좌	ᄉ ᅥ ᆫ ᄌ ᅪ
팬들이	ᄑ ᅢ ᆫ ᄃ ᅳ ᄅ ᅵ
얘들이	ᄋ ᅤ ᄃ ᅳ ᄅ ᅵ
진출하면서	ᄌ ᅵ ᆫ ᄎ ᅮ ᆯ ᄒ ᅡ ᄆ ᅧ ᆫ ᄉ ᅥ
글로벌하게	ᄀ ᅳ ᆯ ᄅ ᅩ ᄇ ᅥ ᆯ ᄒ ᅡ ᄀ ᅦ
늘어났어	ᄂ ᅳ ᄅ ᅥ ᄂ ᅡ ᄊ ᅥ
보겠다고	ᄇ ᅩ ᄀ ᅦ ᆮ ᄄ ᅡ ᄀ ᅩ
원정을	ᄋ ᅯ ᆫ ᄌ ᅥ ᆼ ᄋ ᅳ ᆯ
온다니까	ᄋ ᅩ ᆫ ᄃ ᅡ ᄂ ᅵ ᄁ ᅡ
기다려보면	ᄀ ᅵ ᄃ ᅡ ᄅ ᅧ ᄇ ᅩ ᄆ ᅧ ᆫ
취소표	ᄎ ᅱ ᄉ ᅩ ᄑ ᅭ
풀리지	ᄑ ᅮ ᆯ ᄅ ᅵ ᄌ ᅵ
사람들이나	ᄉ ᅡ ᄅ ᅡ ᆷ ᄃ ᅳ ᄅ ᅵ ᄂ ᅡ
취소표는	ᄎ ᅱ ᄉ ᅩ ᄑ ᅭ ᄂ ᅳ ᆫ
세다니까	ᄉ ᅦ ᄃ ᅡ ᄂ ᅵ ᄁ ᅡ
취소표라도	ᄎ ᅱ ᄉ ᅩ ᄑ ᅭ ᄅ ᅡ ᄃ ᅩ
노려야지	ᄂ ᅩ ᄅ ᅧ ᄋ ᅣ ᄌ ᅵ
양도하는	ᄋ ᅣ ᆼ ᄃ ᅩ ᄒ ᅡ ᄂ ᅳ ᆫ
받거나	ᄇ ᅡ ᆮ ᄁ ᅥ ᄂ ᅡ
재용이	ᄌ ᅢ ᄋ ᅭ ᆼ ᄋ ᅵ
이재용	ᄋ ᅵ ᄌ ᅢ ᄋ ᅭ ᆼ
재드래곤이라고	ᄌ ᅢ ᄃ ᅳ ᄅ ᅢ ᄀ ᅩ ᄂ ᅵ ᄅ ᅡ ᄀ ᅩ
부르던	ᄇ ᅮ ᄅ ᅳ ᄃ ᅥ ᆫ
됐대	ᄃ ᅫ ᆮ ᄄ ᅢ
로또에	ᄅ ᅩ ᄄ ᅩ ᄋ ᅦ
십오억인가	ᄉ ᅵ ᄇ ᅩ ᄋ ᅥ ᄀ ᅵ ᆫ ᄀ ᅡ
미성년자	ᄆ ᅵ ᄉ ᅥ ᆼ ᄂ ᅧ ᆫ ᄌ ᅡ
로또를	ᄅ ᅩ ᄄ ᅩ ᄅ ᅳ ᆯ
꿇었잖아	ᄁ ᅮ ᄅ ᅥ ᆮ ᄍ ᅡ ᄂ ᅡ
나이로	ᄂ ᅡ ᄋ ᅵ ᄅ ᅩ
살이야	ᄉ ᅡ ᄅ ᅵ ᄋ ᅣ
로또나	ᄅ ᅩ ᄄ ᅩ ᄂ ᅡ
낭비하지	ᄂ ᅡ ᆼ ᄇ ᅵ ᄒ ᅡ ᄌ ᅵ
떡볶이나	ᄄ ᅥ ᆨ ᄈ ᅩ ᄁ ᅵ ᄂ ᅡ
걸음이	ᄀ ᅥ ᄅ ᅳ ᄆ ᅵ
확신을	ᄒ ᅪ ᆨ ᄊ ᅵ ᄂ ᅳ ᆯ
재용이처럼	ᄌ ᅢ ᄋ ᅭ ᆼ ᄋ ᅵ ᄎ ᅥ ᄅ ᅥ ᆷ
부자	ᄇ ᅮ ᄌ ᅡ
먹었거든	ᄆ ᅥ ᄀ ᅥ ᆮ ᄁ ᅥ ᄃ ᅳ ᆫ
먹었다니까	ᄆ ᅥ ᄀ ᅥ ᆮ ᄄ ᅡ ᄂ ᅵ ᄁ ᅡ
생사람을	ᄉ ᅢ ᆼ ᄉ ᅡ ᄅ ᅡ ᄆ ᅳ ᆯ
쓰레기통	ᄊ ᅳ ᄅ ᅦ ᄀ ᅵ ᄐ ᅩ ᆼ
뒤져보니까	ᄃ ᅱ ᄌ ᅥ ᄇ ᅩ ᄂ ᅵ ᄁ ᅡ
껍질	ᄁ ᅥ ᆸ ᄍ ᅵ ᆯ
버려져	ᄇ ᅥ ᄅ ᅧ ᄌ ᅥ
아이씨	ᄋ ᅡ ᄋ ᅵ ᄊ ᅵ
아이스크림이라고	ᄋ ᅡ ᄋ ᅵ ᄉ ᅳ ᄏ ᅳ ᄅ ᅵ ᄆ ᅵ ᄅ ᅡ ᄀ ᅩ
궁시렁	ᄀ ᅮ ᆼ ᄉ ᅵ ᄅ ᅥ ᆼ
만졌냐	ᄆ ᅡ ᆫ ᄌ ᅥ ᆫ ᄂ ᅣ
봐준다	ᄇ ᅪ ᄌ ᅮ ᆫ ᄃ ᅡ
뒤지면	ᄃ ᅱ ᄌ ᅵ ᄆ ᅧ ᆫ
말해라	ᄆ ᅡ ᆯ ᄒ ᅢ ᄅ ᅡ
만졌냐고	ᄆ ᅡ ᆫ ᄌ ᅥ ᆫ ᄂ ᅣ ᄀ ᅩ
학교에다	ᄒ ᅡ ᆨ ᄁ ᅭ ᄋ ᅦ ᄃ ᅡ
와가지고	ᄋ ᅪ ᄀ ᅡ ᄌ ᅵ ᄀ ᅩ
썼거든	ᄊ ᅥ ᆮ ᄁ ᅥ ᄃ ᅳ ᆫ
만지지	ᄆ ᅡ ᆫ ᄌ ᅵ ᄌ ᅵ
내걸로	ᄂ ᅢ ᄀ ᅥ ᆯ ᄅ ᅩ
다운로드	ᄃ ᅡ ᄋ ᅮ ᆯ ᄅ ᅩ ᄃ ᅳ
들어가자마자	ᄃ ᅳ ᄅ ᅥ ᄀ ᅡ ᄌ ᅡ ᄆ ᅡ ᄌ ᅡ
껐는데	ᄁ ᅥ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
사이트나	ᄉ ᅡ ᄋ ᅵ ᄐ ᅳ ᄂ ᅡ
어떡하냐고	ᄋ ᅥ ᄄ ᅥ ᄏ ᅡ ᄂ ᅣ ᄀ ᅩ
걸렸는데	ᄀ ᅥ ᆯ ᄅ ᅧ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
데이터	ᄃ ᅦ ᄋ ᅵ ᄐ ᅥ
날아가면	ᄂ ᅡ ᄅ ᅡ ᄀ ᅡ ᄆ ᅧ ᆫ
앞으로고	ᄋ ᅡ ᄑ ᅳ ᄅ ᅩ ᄀ ᅩ
책임지냐고	ᄎ ᅢ ᄀ ᅵ ᆷ ᄌ ᅵ ᄂ ᅣ ᄀ ᅩ
기숙사	ᄀ ᅵ ᄉ ᅮ ᆨ ᄊ ᅡ
떨어졌다며	ᄄ ᅥ ᄅ ᅥ ᄌ ᅥ ᆮ ᄄ ᅡ ᄆ ᅧ
나왔으면	ᄂ ᅡ ᄋ ᅪ ᄊ ᅳ ᄆ ᅧ ᆫ
기숙사를	ᄀ ᅵ ᄉ ᅮ ᆨ ᄊ ᅡ ᄅ ᅳ ᆯ
짤리냐	ᄍ ᅡ ᆯ ᄅ ᅵ ᄂ ᅣ
한심하게	ᄒ ᅡ ᆫ ᄉ ᅵ ᆷ ᄒ ᅡ ᄀ ᅦ
심란한데	ᄉ ᅵ ᆷ ᄂ ᅡ ᆫ ᄒ ᅡ ᆫ ᄃ ᅦ
깐족거리냐	ᄁ ᅡ ᆫ ᄌ ᅩ ᆨ ᄁ ᅥ ᄅ ᅵ ᄂ ᅣ
심란하긴	ᄉ ᅵ ᆷ ᄂ ᅡ ᆫ ᄒ ᅡ ᄀ ᅵ ᆫ
심란해	ᄉ ᅵ ᆷ ᄂ ᅡ ᆫ ᄒ ᅢ
자취할	ᄌ ᅡ ᄎ ᅱ ᄒ ᅡ ᆯ
생각에	ᄉ ᅢ ᆼ ᄀ ᅡ ᄀ ᅦ
걸렸구만	ᄀ ᅥ ᆯ ᄅ ᅧ ᆮ ᄁ ᅮ ᄆ ᅡ ᆫ
걸리기는	ᄀ ᅥ ᆯ ᄅ ᅵ ᄀ ᅵ ᄂ ᅳ ᆫ
자취하는	ᄌ ᅡ ᄎ ᅱ ᄒ ᅡ ᄂ ᅳ ᆫ
벌리지	ᄇ ᅥ ᆯ ᄅ ᅵ ᄌ ᅵ
천하의	ᄎ ᅥ ᆫ ᄒ ᅡ ᄋ ᅴ
불효	ᄇ ᅮ ᆯ ᄒ ᅭ
엄마한텐	ᄋ ᅥ ᆷ ᄆ ᅡ ᄒ ᅡ ᆫ ᄐ ᅦ ᆫ
벌릴	ᄇ ᅥ ᆯ ᄅ ᅵ ᆯ
보증금	ᄇ ᅩ ᄌ ᅳ ᆼ ᄀ ᅳ ᆷ
모으려고	ᄆ ᅩ ᄋ ᅳ ᄅ ᅧ ᄀ ᅩ
오빠의	ᄋ ᅩ ᄈ ᅡ ᄋ ᅴ
행실을	ᄒ ᅢ ᆼ ᄉ ᅵ ᄅ ᅳ ᆯ
행실이	ᄒ ᅢ ᆼ ᄉ ᅵ ᄅ ᅵ
드리지는	ᄃ ᅳ ᄅ ᅵ ᄌ ᅵ ᄂ ᅳ ᆫ
내놓으라고	ᄂ ᅢ ᄂ ᅩ ᄋ ᅳ ᄅ ᅡ ᄀ ᅩ
떼쓰잖아	ᄄ ᅦ ᄊ ᅳ ᄌ ᅡ ᄂ ᅡ
들여다보고	ᄃ ᅳ ᄅ ᅧ ᄃ ᅡ ᄇ ᅩ ᄀ ᅩ
들이댔잖아	ᄃ ᅳ ᄅ ᅵ ᄃ ᅢ ᆮ ᄍ ᅡ ᄂ ᅡ
누구는	ᄂ ᅮ ᄀ ᅮ ᄂ ᅳ ᆫ
들이댔어	ᄃ ᅳ ᄅ ᅵ ᄃ ᅢ ᄊ ᅥ
모가지가	ᄆ ᅩ ᄀ ᅡ ᄌ ᅵ ᄀ ᅡ
꺾여	ᄁ ᅥ ᄁ ᅧ
있었그든	ᄋ ᅵ ᄊ ᅥ ᆮ ᄁ ᅳ ᄃ ᅳ ᆫ
왜곡도	ᄋ ᅫ ᄀ ᅩ ᆨ ᄄ ᅩ
하시죠	ᄒ ᅡ ᄉ ᅵ ᄌ ᅭ
폰에	ᄑ ᅩ ᄂ ᅦ
친군데	ᄎ ᅵ ᆫ ᄀ ᅮ ᆫ ᄃ ᅦ
친구랑	ᄎ ᅵ ᆫ ᄀ ᅮ ᄅ ᅡ ᆼ
헤어졌다매	ᄒ ᅦ ᄋ ᅥ ᄌ ᅥ ᆮ ᄄ ᅡ ᄆ ᅢ
깨지냐	ᄁ ᅢ ᄌ ᅵ ᄂ ᅣ
나가라	ᄂ ᅡ ᄀ ᅡ ᄅ ᅡ
불쌍해서	ᄇ ᅮ ᆯ ᄊ ᅡ ᆼ ᄒ ᅢ ᄉ ᅥ
이을	ᄋ ᅵ ᄋ ᅳ ᆯ
불쌍한데	ᄇ ᅮ ᆯ ᄊ ᅡ ᆼ ᄒ ᅡ ᆫ ᄃ ᅦ
사귄다는	ᄉ ᅡ ᄀ ᅱ ᆫ ᄃ ᅡ ᄂ ᅳ ᆫ
불쌍하냐	ᄇ ᅮ ᆯ ᄊ ᅡ ᆼ ᄒ ᅡ ᄂ ᅣ
돌아봐	ᄃ ᅩ ᄅ ᅡ ᄇ ᅪ
객관적으로다가	ᄀ ᅢ ᆨ ᄁ ᅪ ᆫ ᄌ ᅥ ᄀ ᅳ ᄅ ᅩ ᄃ ᅡ ᄀ ᅡ
사귀기가	ᄉ ᅡ ᄀ ᅱ ᄀ ᅵ ᄀ ᅡ
인물도	ᄋ ᅵ ᆫ ᄆ ᅮ ᆯ ᄃ ᅩ
성실하지	ᄉ ᅥ ᆼ ᄉ ᅵ ᆯ ᄒ ᅡ ᄌ ᅵ
오빠에게서	ᄋ ᅩ ᄈ ᅡ ᄋ ᅦ ᄀ ᅦ ᄉ ᅥ
탈출하라고	ᄐ ᅡ ᆯ ᄎ ᅮ ᆯ ᄒ ᅡ ᄅ ᅡ ᄀ ᅩ
에스오에스	ᄋ ᅦ ᄉ ᅳ ᄋ ᅩ ᄋ ᅦ ᄉ ᅳ
연락이라도	ᄋ ᅧ ᆯ ᄅ ᅡ ᄀ ᅵ ᄅ ᅡ ᄃ ᅩ
줄려고	ᄌ ᅮ ᆯ ᄅ ᅧ ᄀ ᅩ
저지르기	ᄌ ᅥ ᄌ ᅵ ᄅ ᅳ ᄀ ᅵ
부럽냐	ᄇ ᅮ ᄅ ᅥ ᆷ ᄂ ᅣ
