씨	ᄊ ᅵ
앓아	ᄋ ᅡ ᄅ ᅡ
눕	ᄂ ᅮ ᆸ
이슬만	ᄋ ᅵ ᄉ ᅳ ᆯ ᄆ ᅡ ᆫ
때문이지요	ᄄ ᅢ ᄆ ᅮ ᄂ ᅵ ᄌ ᅵ ᄋ ᅭ
분수	ᄇ ᅮ ᆫ ᄉ ᅮ
모르면	ᄆ ᅩ ᄅ ᅳ ᄆ ᅧ ᆫ
일낸다	ᄋ ᅵ ᆯ ᄅ ᅢ ᆫ ᄃ ᅡ
장에	ᄌ ᅡ ᆼ ᄋ ᅦ
간다니까	ᄀ ᅡ ᆫ ᄃ ᅡ ᄂ ᅵ ᄁ ᅡ
거름지고	ᄀ ᅥ ᄅ ᅳ ᆷ ᄌ ᅵ ᄀ ᅩ
나선다라는	ᄂ ᅡ ᄉ ᅥ ᆫ ᄃ ᅡ ᄅ ᅡ ᄂ ᅳ ᆫ
주관도	ᄌ ᅮ ᄀ ᅪ ᆫ ᄃ ᅩ
따라간다는	ᄄ ᅡ ᄅ ᅡ ᄀ ᅡ ᆫ ᄃ ᅡ ᄂ ᅳ ᆫ
뜻으로	ᄄ ᅳ ᄉ ᅳ ᄅ ᅩ
분위기에	ᄇ ᅮ ᄂ ᅱ ᄀ ᅵ ᄋ ᅦ
없는데	ᄋ ᅥ ᆷ ᄂ ᅳ ᆫ ᄃ ᅦ
사니까	ᄉ ᅡ ᄂ ᅵ ᄁ ᅡ
특별히	ᄐ ᅳ ᆨ ᄈ ᅧ ᆯ ᄒ ᅵ
친구를	ᄎ ᅵ ᆫ ᄀ ᅮ ᄅ ᅳ ᆯ
따라갔다	ᄄ ᅡ ᄅ ᅡ ᄀ ᅡ ᆮ ᄄ ᅡ
김남주	ᄀ ᅵ ᆷ ᄂ ᅡ ᆷ ᄌ ᅮ
귀걸이	ᄀ ᅱ ᄀ ᅥ ᄅ ᅵ
최지우	ᄎ ᅬ ᄌ ᅵ ᄋ ᅮ
머리핀	ᄆ ᅥ ᄅ ᅵ ᄑ ᅵ ᆫ
어울리는지	ᄋ ᅥ ᄋ ᅮ ᆯ ᄅ ᅵ ᄂ ᅳ ᆫ ᄌ ᅵ
따지지	ᄄ ᅡ ᄌ ᅵ ᄌ ᅵ
유행만	ᄋ ᅲ ᄒ ᅢ ᆼ ᄆ ᅡ ᆫ
쫓아가는	ᄍ ᅩ ᄎ ᅡ ᄀ ᅡ ᄂ ᅳ ᆫ
소비행위도	ᄉ ᅩ ᄇ ᅵ ᄒ ᅢ ᆼ ᄋ ᅱ ᄃ ᅩ
구입	ᄀ ᅮ ᄋ ᅵ ᆸ
하느냐에	ᄒ ᅡ ᄂ ᅳ ᄂ ᅣ ᄋ ᅦ
소비자가	ᄉ ᅩ ᄇ ᅵ ᄌ ᅡ ᄀ ᅡ
구입하는가에	ᄀ ᅮ ᄋ ᅵ ᄑ ᅡ ᄂ ᅳ ᆫ ᄀ ᅡ ᄋ ᅦ
받아	ᄇ ᅡ ᄃ ᅡ
밴드웨건	ᄇ ᅢ ᆫ ᄃ ᅳ ᄋ ᅰ ᄀ ᅥ ᆫ
효과에	ᄒ ᅭ ᄀ ᅪ ᄋ ᅦ
소비행위라고	ᄉ ᅩ ᄇ ᅵ ᄒ ᅢ ᆼ ᄋ ᅱ ᄅ ᅡ ᄀ ᅩ
소비행위의	ᄉ ᅩ ᄇ ᅵ ᄒ ᅢ ᆼ ᄋ ᅱ ᄋ ᅴ
상호	ᄉ ᅡ ᆼ ᄒ ᅩ
의존성	ᄋ ᅴ ᄌ ᅩ ᆫ ᄉ ᅥ ᆼ
중요해	ᄌ ᅮ ᆼ ᄋ ᅭ ᄒ ᅢ
처지와	ᄎ ᅥ ᄌ ᅵ ᄋ ᅪ
무언가를	ᄆ ᅮ ᄋ ᅥ ᆫ ᄀ ᅡ ᄅ ᅳ ᆯ
하려다	ᄒ ᅡ ᄅ ᅧ ᄃ ᅡ
낭패를	ᄂ ᅡ ᆼ ᄑ ᅢ ᄅ ᅳ ᆯ
본다	ᄇ ᅩ ᆫ ᄃ ᅡ
당나귀처럼	ᄃ ᅡ ᆼ ᄂ ᅡ ᄀ ᅱ ᄎ ᅥ ᄅ ᅥ ᆷ
소비에	ᄉ ᅩ ᄇ ᅵ ᄋ ᅦ
함으로	ᄒ ᅡ ᄆ ᅳ ᄅ ᅩ
써	ᄊ ᅥ
소비라고	ᄉ ᅩ ᄇ ᅵ ᄅ ᅡ ᄀ ᅩ
산다고	ᄉ ᅡ ᆫ ᄃ ᅡ ᄀ ᅩ
소비한다든지	ᄉ ᅩ ᄇ ᅵ ᄒ ᅡ ᆫ ᄃ ᅡ ᄃ ᅳ ᆫ ᄌ ᅵ
소비하니까	ᄉ ᅩ ᄇ ᅵ ᄒ ᅡ ᄂ ᅵ ᄁ ᅡ
재화는	ᄌ ᅢ ᄒ ᅪ ᄂ ᅳ ᆫ
틀림없이	ᄐ ᅳ ᆯ ᄅ ᅵ ᄆ ᅥ ᆸ ᄊ ᅵ
거라고	ᄀ ᅥ ᄅ ᅡ ᄀ ᅩ
구입하는	ᄀ ᅮ ᄋ ᅵ ᄑ ᅡ ᄂ ᅳ ᆫ
새	ᄉ ᅢ
알리기	ᄋ ᅡ ᆯ ᄅ ᅵ ᄀ ᅵ
광고나	ᄀ ᅪ ᆼ ᄀ ᅩ ᄂ ᅡ
홍보를	ᄒ ᅩ ᆼ ᄇ ᅩ ᄅ ᅳ ᆯ
노린	ᄂ ᅩ ᄅ ᅵ ᆫ
파악해	ᄑ ᅡ ᄋ ᅡ ᄏ ᅢ
낭비를	ᄂ ᅡ ᆼ ᄇ ᅵ ᄅ ᅳ ᆯ
없애고	ᄋ ᅥ ᆸ ᄊ ᅢ ᄀ ᅩ
합리적인	ᄒ ᅡ ᆷ ᄂ ᅵ ᄌ ᅥ ᄀ ᅵ ᆫ
효과	ᄒ ᅭ ᄀ ᅪ
대열의	ᄃ ᅢ ᄋ ᅧ ᄅ ᅴ
행렬을	ᄒ ᅢ ᆼ ᄂ ᅧ ᄅ ᅳ ᆯ
선도하는	ᄉ ᅥ ᆫ ᄃ ᅩ ᄒ ᅡ ᄂ ᅳ ᆫ
악대차가	ᄋ ᅡ ᆨ ᄄ ᅢ ᄎ ᅡ ᄀ ᅡ
연주를	ᄋ ᅧ ᆫ ᄌ ᅮ ᄅ ᅳ ᆯ
지나가면	ᄌ ᅵ ᄂ ᅡ ᄀ ᅡ ᄆ ᅧ ᆫ
무엇	ᄆ ᅮ ᄋ ᅥ ᆮ
때문인지	ᄄ ᅢ ᄆ ᅮ ᄂ ᅵ ᆫ ᄌ ᅵ
모여들기	ᄆ ᅩ ᄋ ᅧ ᄃ ᅳ ᆯ ᄀ ᅵ
시작하고	ᄉ ᅵ ᄌ ᅡ ᄏ ᅡ ᄀ ᅩ
몰려가는	ᄆ ᅩ ᆯ ᄅ ᅧ ᄀ ᅡ ᄂ ᅳ ᆫ
바라보는	ᄇ ᅡ ᄅ ᅡ ᄇ ᅩ ᄂ ᅳ ᆫ
사람들도	ᄉ ᅡ ᄅ ᅡ ᆷ ᄃ ᅳ ᆯ ᄃ ᅩ
뒤따르며	ᄃ ᅱ ᄄ ᅡ ᄅ ᅳ ᄆ ᅧ
군중이	ᄀ ᅮ ᆫ ᄌ ᅮ ᆼ ᄋ ᅵ
불어나는	ᄇ ᅮ ᄅ ᅥ ᄂ ᅡ ᄂ ᅳ ᆫ
비유해	ᄇ ᅵ ᄋ ᅲ ᄒ ᅢ
붙여졌다	ᄇ ᅮ ᄎ ᅧ ᄌ ᅥ ᆮ ᄄ ᅡ
눈높이	ᄂ ᅮ ᆫ ᄂ ᅩ ᄑ ᅵ
낮춰라	ᄂ ᅡ ᆮ ᄎ ᅯ ᄅ ᅡ
사치와	ᄉ ᅡ ᄎ ᅵ ᄋ ᅪ
낭비	ᄂ ᅡ ᆼ ᄇ ᅵ
새들이	ᄉ ᅢ ᄃ ᅳ ᄅ ᅵ
제일	ᄌ ᅦ ᄋ ᅵ ᆯ
아름답	ᄋ ᅡ ᄅ ᅳ ᆷ ᄃ ᅡ ᆸ
다고	ᄃ ᅡ ᄀ ᅩ
다투었죠	ᄃ ᅡ ᄐ ᅮ ᄋ ᅥ ᆮ ᄍ ᅭ
하느님은	ᄒ ᅡ ᄂ ᅳ ᄂ ᅵ ᄆ ᅳ ᆫ
새들을	ᄉ ᅢ ᄃ ᅳ ᄅ ᅳ ᆯ
불러놓고	ᄇ ᅮ ᆯ ᄅ ᅥ ᄂ ᅩ ᄏ ᅩ
너희들	ᄂ ᅥ ᄒ ᅵ ᄃ ᅳ ᆯ
중에	ᄌ ᅮ ᆼ ᄋ ᅦ
새의	ᄉ ᅢ ᄋ ᅴ
왕을	ᄋ ᅪ ᆼ ᄋ ᅳ ᆯ
가려주마라고	ᄀ ᅡ ᄅ ᅧ ᄌ ᅮ ᄆ ᅡ ᄅ ᅡ ᄀ ᅩ
새들은	ᄉ ᅢ ᄃ ᅳ ᄅ ᅳ ᆫ
왕이	ᄋ ᅪ ᆼ ᄋ ᅵ
꾸미기	ᄁ ᅮ ᄆ ᅵ ᄀ ᅵ
까마귀가	ᄁ ᅡ ᄆ ᅡ ᄀ ᅱ ᄀ ᅡ
한숨을	ᄒ ᅡ ᆫ ᄉ ᅮ ᄆ ᅳ ᆯ
쉬며	ᄉ ᅱ ᄆ ᅧ
싶어	ᄉ ᅵ ᄑ ᅥ
까마귀는	ᄁ ᅡ ᄆ ᅡ ᄀ ᅱ ᄂ ᅳ ᆫ
주위를	ᄌ ᅮ ᄋ ᅱ ᄅ ᅳ ᆯ
서성이다	ᄉ ᅥ ᄉ ᅥ ᆼ ᄋ ᅵ ᄃ ᅡ
떨어뜨린	ᄄ ᅥ ᄅ ᅥ ᄄ ᅳ ᄅ ᅵ ᆫ
깃	ᄀ ᅵ ᆮ
털을	ᄐ ᅥ ᄅ ᅳ ᆯ
몸에	ᄆ ᅩ ᄆ ᅦ
꽂았어요	ᄁ ᅩ ᄌ ᅡ ᄊ ᅥ ᄋ ᅭ
웬일	ᄋ ᅰ ᄂ ᅵ ᆯ
새가	ᄉ ᅢ ᄀ ᅡ
대회장	ᄃ ᅢ ᄒ ᅬ ᄌ ᅡ ᆼ
깃털의	ᄀ ᅵ ᆮ ᄐ ᅥ ᄅ ᅴ
까마귀를	ᄁ ᅡ ᄆ ᅡ ᄀ ᅱ ᄅ ᅳ ᆯ
왕으로	ᄋ ᅪ ᆼ ᄋ ᅳ ᄅ ᅩ
뽑았어요	ᄈ ᅩ ᄇ ᅡ ᄊ ᅥ ᄋ ᅭ
둘러싸고	ᄃ ᅮ ᆯ ᄅ ᅥ ᄊ ᅡ ᄀ ᅩ
새들	ᄉ ᅢ ᄃ ᅳ ᆯ
까마귀의	ᄁ ᅡ ᄆ ᅡ ᄀ ᅱ ᄋ ᅴ
깃털	ᄀ ᅵ ᆮ ᄐ ᅥ ᆯ
깃털을	ᄀ ᅵ ᆮ ᄐ ᅥ ᄅ ᅳ ᆯ
깃털이야	ᄀ ᅵ ᆮ ᄐ ᅥ ᄅ ᅵ ᄋ ᅣ
뽑아가자	ᄈ ᅩ ᄇ ᅡ ᄀ ᅡ ᄌ ᅡ
원래의	ᄋ ᅯ ᆯ ᄅ ᅢ ᄋ ᅴ
됐죠	ᄃ ᅫ ᆮ ᄍ ᅭ
분수도	ᄇ ᅮ ᆫ ᄉ ᅮ ᄃ ᅩ
모르고	ᄆ ᅩ ᄅ ᅳ ᄀ ᅩ
허영을	ᄒ ᅥ ᄋ ᅧ ᆼ ᄋ ᅳ ᆯ
부렸던	ᄇ ᅮ ᄅ ᅧ ᆮ ᄄ ᅥ ᆫ
창피해서	ᄎ ᅡ ᆼ ᄑ ᅵ ᄒ ᅢ ᄉ ᅥ
달아났어요	ᄃ ᅡ ᄅ ᅡ ᄂ ᅡ ᄊ ᅥ ᄋ ᅭ
허영심과	ᄒ ᅥ ᄋ ᅧ ᆼ ᄉ ᅵ ᆷ ᄀ ᅪ
경계해야	ᄀ ᅧ ᆼ ᄀ ᅨ ᄒ ᅢ ᄋ ᅣ
자원으로	ᄌ ᅡ ᄋ ᅯ ᄂ ᅳ ᄅ ᅩ
본래	ᄇ ᅩ ᆯ ᄅ ᅢ
쓰임새를	ᄊ ᅳ ᄋ ᅵ ᆷ ᄉ ᅢ ᄅ ᅳ ᆯ
살려준다	ᄉ ᅡ ᆯ ᄅ ᅧ ᄌ ᅮ ᆫ ᄃ ᅡ
고개가	ᄀ ᅩ ᄀ ᅢ ᄀ ᅡ
불과	ᄇ ᅮ ᆯ ᄀ ᅪ
세대도	ᄉ ᅦ ᄃ ᅢ ᄃ ᅩ
이르고	ᄋ ᅵ ᄅ ᅳ ᄀ ᅩ
허영과	ᄒ ᅥ ᄋ ᅧ ᆼ ᄀ ᅪ
욕심을	ᄋ ᅭ ᆨ ᄊ ᅵ ᄆ ᅳ ᆯ
부리다	ᄇ ᅮ ᄅ ᅵ ᄃ ᅡ
나쁜	ᄂ ᅡ ᄈ ᅳ ᆫ
결과를	ᄀ ᅧ ᆯ ᄀ ᅪ ᄅ ᅳ ᆯ
맞는다	ᄆ ᅡ ᆫ ᄂ ᅳ ᆫ ᄃ ᅡ
자기에게	ᄌ ᅡ ᄀ ᅵ ᄋ ᅦ ᄀ ᅦ
위험한지	ᄋ ᅱ ᄒ ᅥ ᆷ ᄒ ᅡ ᆫ ᄌ ᅵ
생각하게	ᄉ ᅢ ᆼ ᄀ ᅡ ᄏ ᅡ ᄀ ᅦ
물건인지	ᄆ ᅮ ᆯ ᄀ ᅥ ᄂ ᅵ ᆫ ᄌ ᅵ
따지기	ᄄ ᅡ ᄌ ᅵ ᄀ ᅵ
속담	ᄉ ᅩ ᆨ ᄄ ᅡ ᆷ
조리에	ᄌ ᅩ ᄅ ᅵ ᄋ ᅦ
옻칠한다는	ᄋ ᅩ ᆮ ᄎ ᅵ ᆯ ᄒ ᅡ ᆫ ᄃ ᅡ ᄂ ᅳ ᆫ
조리는	ᄌ ᅩ ᄅ ᅵ ᄂ ᅳ ᆫ
대오리나	ᄃ ᅢ ᄋ ᅩ ᄅ ᅵ ᄂ ᅡ
철사로	ᄎ ᅥ ᆯ ᄉ ᅡ ᄅ ᅩ
도구	ᄃ ᅩ ᄀ ᅮ
비싸고	ᄇ ᅵ ᄊ ᅡ ᄀ ᅩ
옻을	ᄋ ᅩ ᄎ ᅳ ᆯ
칠해봤자	ᄎ ᅵ ᆯ ᄒ ᅢ ᄇ ᅪ ᆮ ᄍ ᅡ
기능에는	ᄀ ᅵ ᄂ ᅳ ᆼ ᄋ ᅦ ᄂ ᅳ ᆫ
아까운	ᄋ ᅡ ᄁ ᅡ ᄋ ᅮ ᆫ
낭비하게	ᄂ ᅡ ᆼ ᄇ ᅵ ᄒ ᅡ ᄀ ᅦ
쓸데없는	ᄊ ᅳ ᆯ ᄃ ᅦ ᄋ ᅥ ᆷ ᄂ ᅳ ᆫ
재물을	ᄌ ᅢ ᄆ ᅮ ᄅ ᅳ ᆯ
함부로	ᄒ ᅡ ᆷ ᄇ ᅮ ᄅ ᅩ
빗댄	ᄇ ᅵ ᆮ ᄄ ᅢ ᆫ
돼지	ᄃ ᅫ ᄌ ᅵ
우리에	ᄋ ᅮ ᄅ ᅵ ᄋ ᅦ
주석	ᄌ ᅮ ᄉ ᅥ ᆨ
자물쇠도	ᄌ ᅡ ᄆ ᅮ ᆯ ᄉ ᅬ ᄃ ᅩ
생활에도	ᄉ ᅢ ᆼ ᄒ ᅪ ᄅ ᅦ ᄃ ᅩ
사례는	ᄉ ᅡ ᄅ ᅨ ᄂ ᅳ ᆫ
적은데	ᄌ ᅥ ᄀ ᅳ ᆫ ᄃ ᅦ
명품만	ᄆ ᅧ ᆼ ᄑ ᅮ ᆷ ᄆ ᅡ ᆫ
고집하	ᄀ ᅩ ᄌ ᅵ ᄑ ᅡ
가구를	ᄀ ᅡ ᄀ ᅮ ᄅ ᅳ ᆯ
유행이	ᄋ ᅲ ᄒ ᅢ ᆼ ᄋ ᅵ
지났다며	ᄌ ᅵ ᄂ ᅡ ᆮ ᄄ ᅡ ᄆ ᅧ
버리고	ᄇ ᅥ ᄅ ᅵ ᄀ ᅩ
신제품이	ᄉ ᅵ ᆫ ᄌ ᅦ ᄑ ᅮ ᄆ ᅵ
휴대폰을	ᄒ ᅲ ᄃ ᅢ ᄑ ᅩ ᄂ ᅳ ᆯ
일도	ᄋ ᅵ ᆯ ᄃ ᅩ
낭비다	ᄂ ᅡ ᆼ ᄇ ᅵ ᄃ ᅡ
지혜롭게	ᄌ ᅵ ᄒ ᅨ ᄅ ᅩ ᆸ ᄁ ᅦ
살려면	ᄉ ᅡ ᆯ ᄅ ᅧ ᄆ ᅧ ᆫ
눈높이를	ᄂ ᅮ ᆫ ᄂ ᅩ ᄑ ᅵ ᄅ ᅳ ᆯ
약간만	ᄋ ᅣ ᆨ ᄁ ᅡ ᆫ ᄆ ᅡ ᆫ
낮추면	ᄂ ᅡ ᆮ ᄎ ᅮ ᄆ ᅧ ᆫ
대체품은	ᄃ ᅢ ᄎ ᅦ ᄑ ᅮ ᄆ ᅳ ᆫ
없는지	ᄋ ᅥ ᆷ ᄂ ᅳ ᆫ ᄌ ᅵ
따지고	ᄄ ᅡ ᄌ ᅵ ᄀ ᅩ
사야	ᄉ ᅡ ᄋ ᅣ
품질	ᄑ ᅮ ᆷ ᄌ ᅵ ᆯ
따져야	ᄄ ᅡ ᄌ ᅥ ᄋ ᅣ
흰	ᄒ ᅵ ᆫ
얼굴의	ᄋ ᅥ ᆯ ᄀ ᅮ ᄅ ᅴ
예쁘고	ᄋ ᅨ ᄈ ᅳ ᄀ ᅩ
피부가	ᄑ ᅵ ᄇ ᅮ ᄀ ᅡ
희어서	ᄒ ᅵ ᄋ ᅥ ᄉ ᅥ
얼굴	ᄋ ᅥ ᆯ ᄀ ᅮ ᆯ
공주란	ᄀ ᅩ ᆼ ᄌ ᅮ ᄅ ᅡ ᆫ
돌아가셔서	ᄃ ᅩ ᄅ ᅡ ᄀ ᅡ ᄉ ᅧ ᄉ ᅥ
계모와	ᄀ ᅨ ᄆ ᅩ ᄋ ᅪ
계모는	ᄀ ᅨ ᄆ ᅩ ᄂ ᅳ ᆫ
아름다움에	ᄋ ᅡ ᄅ ᅳ ᆷ ᄃ ᅡ ᄋ ᅮ ᄆ ᅦ
질투가	ᄌ ᅵ ᆯ ᄐ ᅮ ᄀ ᅡ
심했어요	ᄉ ᅵ ᆷ ᄒ ᅢ ᄊ ᅥ ᄋ ᅭ
자기보다	ᄌ ᅡ ᄀ ᅵ ᄇ ᅩ ᄃ ᅡ
예쁘다는	ᄋ ᅨ ᄈ ᅳ ᄃ ᅡ ᄂ ᅳ ᆫ
사실을	ᄉ ᅡ ᄉ ᅵ ᄅ ᅳ ᆯ
죽이기로	ᄌ ᅮ ᄀ ᅵ ᄀ ᅵ ᄅ ᅩ
계모의	ᄀ ᅨ ᄆ ᅩ ᄋ ᅴ
모략에	ᄆ ᅩ ᄅ ᅣ ᄀ ᅦ
버려져답니다	ᄇ ᅥ ᄅ ᅧ ᄌ ᅥ ᄃ ᅡ ᆷ ᄂ ᅵ ᄃ ᅡ
일곱	ᄋ ᅵ ᆯ ᄀ ᅩ ᆸ
난쟁이가	ᄂ ᅡ ᆫ ᄌ ᅢ ᆼ ᄋ ᅵ ᄀ ᅡ
일하러	ᄋ ᅵ ᆯ ᄒ ᅡ ᄅ ᅥ
간	ᄀ ᅡ ᆫ
사과장수	ᄉ ᅡ ᄀ ᅪ ᄌ ᅡ ᆼ ᄉ ᅮ
할머니로	ᄒ ᅡ ᆯ ᄆ ᅥ ᄂ ᅵ ᄅ ᅩ
변장해	ᄇ ᅧ ᆫ ᄌ ᅡ ᆼ ᄒ ᅢ
공주를	ᄀ ᅩ ᆼ ᄌ ᅮ ᄅ ᅳ ᆯ
찾아갔어요	ᄎ ᅡ ᄌ ᅡ ᄀ ᅡ ᄊ ᅥ ᄋ ᅭ
사세요	ᄉ ᅡ ᄉ ᅦ ᄋ ᅭ
아가씨	ᄋ ᅡ ᄀ ᅡ ᄊ ᅵ
얼마죠	ᄋ ᅥ ᆯ ᄆ ᅡ ᄌ ᅭ
아가씨가	ᄋ ᅡ ᄀ ᅡ ᄊ ᅵ ᄀ ᅡ
예뻐서	ᄋ ᅨ ᄈ ᅥ ᄉ ᅥ
드릴께요	ᄃ ᅳ ᄅ ᅵ ᆯ ᄁ ᅦ ᄋ ᅭ
시중에선	ᄉ ᅵ ᄌ ᅮ ᆼ ᄋ ᅦ ᄉ ᅥ ᆫ
하나에	ᄒ ᅡ ᄂ ᅡ ᄋ ᅦ
원인데	ᄋ ᅯ ᄂ ᅵ ᆫ ᄃ ᅦ
오백	ᄋ ᅩ ᄇ ᅢ ᆨ
드리죠	ᄃ ᅳ ᄅ ᅵ ᄌ ᅭ
고르기	ᄀ ᅩ ᄅ ᅳ ᄀ ᅵ
요즘은	ᄋ ᅭ ᄌ ᅳ ᄆ ᅳ ᆫ
농약을	ᄂ ᅩ ᆼ ᄋ ᅣ ᄀ ᅳ ᆯ
친	ᄎ ᅵ ᆫ
많아서요	ᄆ ᅡ ᄂ ᅡ ᄉ ᅥ ᄋ ᅭ
잠시만	ᄌ ᅡ ᆷ ᄉ ᅵ ᄆ ᅡ ᆫ
바구니에서	ᄇ ᅡ ᄀ ᅮ ᄂ ᅵ ᄋ ᅦ ᄉ ᅥ
농약이	ᄂ ᅩ ᆼ ᄋ ᅣ ᄀ ᅵ
묻은	ᄆ ᅮ ᄃ ᅳ ᆫ
독이든	ᄃ ᅩ ᄀ ᅵ ᄃ ᅳ ᆫ
놔두고	ᄂ ᅪ ᄃ ᅮ ᄀ ᅩ
싱싱한	ᄉ ᅵ ᆼ ᄉ ᅵ ᆼ ᄒ ᅡ ᆫ
것만	ᄀ ᅥ ᆫ ᄆ ᅡ ᆫ
골라서	ᄀ ᅩ ᆯ ᄅ ᅡ ᄉ ᅥ
샀죠	ᄉ ᅡ ᆮ ᄍ ᅭ
하나밖에	ᄒ ᅡ ᄂ ᅡ ᄇ ᅡ ᄁ ᅦ
여섯	ᄋ ᅧ ᄉ ᅥ ᆮ
개나	ᄀ ᅢ ᄂ ᅡ
사다니	ᄉ ᅡ ᄃ ᅡ ᄂ ᅵ
고마워요	ᄀ ᅩ ᄆ ᅡ ᄋ ᅯ ᄋ ᅭ
최대	ᄎ ᅬ ᄃ ᅢ
만족	ᄆ ᅡ ᆫ ᄌ ᅩ ᆨ
하루도	ᄒ ᅡ ᄅ ᅮ ᄃ ᅩ
무언가	ᄆ ᅮ ᄋ ᅥ ᆫ ᄀ ᅡ
사지	ᄉ ᅡ ᄌ ᅵ
소비함으로써	ᄉ ᅩ ᄇ ᅵ ᄒ ᅡ ᄆ ᅳ ᄅ ᅩ ᄊ ᅥ
욕구를	ᄋ ᅭ ᆨ ᄁ ᅮ ᄅ ᅳ ᆯ
채울	ᄎ ᅢ ᄋ ᅮ ᆯ
때문이죠	ᄄ ᅢ ᄆ ᅮ ᄂ ᅵ ᄌ ᅭ
소비란	ᄉ ᅩ ᄇ ᅵ ᄅ ᅡ ᆫ
소득으로	ᄉ ᅩ ᄃ ᅳ ᄀ ᅳ ᄅ ᅩ
상품이나	ᄉ ᅡ ᆼ ᄑ ᅮ ᄆ ᅵ ᄂ ᅡ
사서	ᄉ ᅡ ᄉ ᅥ
효용을	ᄒ ᅭ ᄋ ᅭ ᆼ ᄋ ᅳ ᆯ
행위입니다	ᄒ ᅢ ᆼ ᄋ ᅱ ᄋ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
소비는	ᄉ ᅩ ᄇ ᅵ ᄂ ᅳ ᆫ
생활의	ᄉ ᅢ ᆼ ᄒ ᅪ ᄅ ᅴ
편리함은	ᄑ ᅧ ᆯ ᄅ ᅵ ᄒ ᅡ ᄆ ᅳ ᆫ
국민경제에도	ᄀ ᅮ ᆼ ᄆ ᅵ ᆫ ᄀ ᅧ ᆼ ᄌ ᅦ ᄋ ᅦ ᄃ ᅩ
미치입니다	ᄆ ᅵ ᄎ ᅵ ᄋ ᅵ ᆷ ᄂ ᅵ ᄃ ᅡ
더욱이	ᄃ ᅥ ᄋ ᅮ ᄀ ᅵ
다양하고	ᄃ ᅡ ᄋ ᅣ ᆼ ᄒ ᅡ ᄀ ᅩ
욕구에	ᄋ ᅭ ᆨ ᄁ ᅮ ᄋ ᅦ
제한	ᄌ ᅦ ᄒ ᅡ ᆫ
되므로	ᄃ ᅬ ᄆ ᅳ ᄅ ᅩ
만족을	ᄆ ᅡ ᆫ ᄌ ᅩ ᄀ ᅳ ᆯ
선택은	ᄉ ᅥ ᆫ ᄐ ᅢ ᄀ ᅳ ᆫ
중요합니다	ᄌ ᅮ ᆼ ᄋ ᅭ ᄒ ᅡ ᆷ ᄂ ᅵ ᄃ ᅡ
싸고	ᄊ ᅡ ᄀ ᅩ
품질로	ᄑ ᅮ ᆷ ᄌ ᅵ ᆯ ᄅ ᅩ
제때	ᄌ ᅦ ᄄ ᅢ
공급해야	ᄀ ᅩ ᆼ ᄀ ᅳ ᄑ ᅢ ᄋ ᅣ
재고	ᄌ ᅢ ᄀ ᅩ
가위질은	ᄀ ᅡ ᄋ ᅱ ᄌ ᅵ ᄅ ᅳ ᆫ
포목	ᄑ ᅩ ᄆ ᅩ ᆨ
잘라버리면	ᄌ ᅡ ᆯ ᄅ ᅡ ᄇ ᅥ ᄅ ᅵ ᄆ ᅧ ᆫ
되돌릴	ᄃ ᅬ ᄃ ᅩ ᆯ ᄅ ᅵ ᆯ
없으므로	ᄋ ᅥ ᆸ ᄊ ᅳ ᄆ ᅳ ᄅ ᅩ
자르기	ᄌ ᅡ ᄅ ᅳ ᄀ ᅵ
전에	ᄌ ᅥ ᄂ ᅦ
번이나	ᄇ ᅥ ᄂ ᅵ ᄂ ᅡ
재어	ᄌ ᅢ ᄋ ᅥ
본다는	ᄇ ᅩ ᆫ ᄃ ᅡ ᄂ ᅳ ᆫ
뜻이죠	ᄄ ᅳ ᄉ ᅵ ᄌ ᅭ
잘라주면	ᄌ ᅡ ᆯ ᄅ ᅡ ᄌ ᅮ ᄆ ᅧ ᆫ
손해고	ᄉ ᅩ ᆫ ᄒ ᅢ ᄀ ᅩ
잘못	ᄌ ᅡ ᆯ ᄆ ᅩ ᆮ
덜	ᄃ ᅥ ᆯ
잘라가면	ᄌ ᅡ ᆯ ᄅ ᅡ ᄀ ᅡ ᄆ ᅧ ᆫ
손해가	ᄉ ᅩ ᆫ ᄒ ᅢ ᄀ ᅡ
정확하게	ᄌ ᅥ ᆼ ᄒ ᅪ ᄏ ᅡ ᄀ ᅦ
재야한다는	ᄌ ᅢ ᄋ ᅣ ᄒ ᅡ ᆫ ᄃ ᅡ ᄂ ᅳ ᆫ
행동하죠	ᄒ ᅢ ᆼ ᄃ ᅩ ᆼ ᄒ ᅡ ᄌ ᅭ
종류	ᄌ ᅩ ᆼ ᄂ ᅲ
유행성	ᄋ ᅲ ᄒ ᅢ ᆼ ᄉ ᅥ ᆼ
내구성	ᄂ ᅢ ᄀ ᅮ ᄉ ᅥ ᆼ
충분히	ᄎ ᅮ ᆼ ᄇ ᅮ ᆫ ᄒ ᅵ
따지는	ᄄ ᅡ ᄌ ᅵ ᄂ ᅳ ᆫ
조건은	ᄌ ᅩ ᄀ ᅥ ᄂ ᅳ ᆫ
있을까요	ᄋ ᅵ ᄊ ᅳ ᆯ ᄁ ᅡ ᄋ ᅭ
차원의	ᄎ ᅡ ᄋ ᅯ ᄂ ᅴ
